"시점","행정구역(시군구)별","성별",15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"2014","은평구","여자",2582,2761,2948,2959,2990,3088.5,3188,3278.5,3217.5,3056.5,3134,3263.5,3270.5,3417,3601.5,3913.5,4195,4428,4526.5,4443.5,4014.5,3829,3965,3920,4098.5,4363.5,4491.5,4594,4564.5,4426.5,4342,4180,3831,3780.5,3919.5
"2014","서대문구","여자",1496,1606,1725.5,1839.5,1968.5,2157.5,2256,2300.5,2309.5,2296,2332.5,2371.5,2342,2373.5,2341.5,2452,2621.5,2661,2627,2535,2237.5,2195,2256.5,2241.5,2375.5,2597,2653,2728,2801.5,2756.5,2681,2635.5,2380.5,2286.5,2494
"2014","마포구","여자",1774,1811.5,1894.5,1975.5,2203,2312.5,2490,2683,2770,2884,3017,3159,3405,3551,3546.5,3787,4113.5,4086,3997.5,3919.5,3478.5,3350.5,3512,3436,3495.5,3668,3681.5,3635,3584,3336,3182.5,3013.5,2711,2660.5,2812.5
"2014","양천구","여자",3455,3519,3603.5,3620.5,3580.5,3518.5,3445.5,3442,3218,3019.5,3027,2997,3032.5,3101,3163.5,3358.5,3663,3760.5,3724.5,3685,3420,3360.5,3507,3619,3929.5,4327.5,4630.5,4991,5203,5229,5198,4996.5,4506,4408,4494
"2014","강서구","여자",2803.5,3042,3217.5,3361.5,3492.5,3569.5,3764,3994,3928,3919,4149.5,4320.5,4373,4539,4822.5,5186.5,5623.5,5803.5,5690.5,5604.5,5023.5,4756.5,4718.5,4610.5,4802,4920.5,4892,4880.5,4868.5,4714,4678.5,4590.5,4325.5,4368.5,4540.5
"2014","구로구","여자",1855.5,2004,2123.5,2224.5,2357.5,2425.5,2525.5,2692,2629.5,2656,2859.5,2962.5,3067.5,3275.5,3441,3693,4127,4265.5,4256.5,4223.5,3813.5,3578.5,3622.5,3503.5,3504.5,3613.5,3517.5,3417.5,3399.5,3327,3324,3209.5,3012,2972,3075
"2014","금천구","여자",1146.5,1242,1287,1321,1423.5,1504.5,1577,1628,1624,1606,1591,1672,1698,1681.5,1735.5,1814.5,1938,1990.5,1936.5,1859,1710.5,1600.5,1652.5,1687,1735.5,1819.5,1886.5,1899,1992.5,1998.5,2023.5,2055.5,1936.5,1961.5,2026.5
"2014","영등포구","여자",1640,1772,1818,1927,2070.5,2104.5,2282,2519,2591,2631.5,2842,3031.5,3139,3217,3333,3423,3720.5,3773,3657,3616,3264,3082,3187,3056,3048.5,3108,3152,3170.5,3139,3066.5,3022.5,2936.5,2698,2666.5,2841
"2014","동작구","여자",1763.5,1932.5,2017,2090,2389.5,2545.5,2660.5,2897,3054,3123.5,3298.5,3428.5,3607,3764,3771.5,3828.5,4130,4112.5,3987,3935,3518.5,3378,3345.5,3258,3335.5,3353,3298,3352.5,3330,3235.5,3179,3071,2811.5,2758,2997.5
"2014","관악구","여자",1972,2153.5,2337,2435,2679,3023.5,3426.5,3922.5,4332.5,4685.5,5121.5,5461.5,5456.5,5478.5,5346.5,5411,5611.5,5559,5198.5,4876.5,4326.5,3977.5,3952.5,3810.5,3843,3879,3833.5,3932,3913,3705.5,3658,3577,3303,3321.5,3476
"2014","서초구","여자",2690,2625.5,2652.5,2715,2797.5,2688.5,2797,2846,2840.5,2880,3165,3264.5,3399,3554,3709,4001,4340,4510.5,4416,4365.5,3992,3865.5,4080.5,3994,4055.5,4326.5,4480.5,4591.5,4623,4463.5,4207,3985,3424.5,3188.5,3427.5
"2014","강남구","여자",3619,3793.5,3933,3953,3939.5,3813.5,3896,4100,4026.5,4081,4307.5,4561,4732.5,5038.5,5292,5640.5,6038,6221.5,5957,5854.5,5174,4746.5,4762.5,4573.5,4684,4990.5,5279,5560.5,5862.5,5895,5774.5,5633.5,4977.5,4727.5,5009.5
"2014","송파구","여자",3753,3956,4214.5,4304,4249.5,4292.5,4357,4463,4480,4524,4760,5003.5,5165,5489,5674.5,6025,6523,6718,6663.5,6571,5882,5496.5,5547.5,5344,5549.5,5934.5,6144,6323.5,6245.5,6071.5,6041.5,5797,5247,5189.5,5425
"2014","강동구","여자",2521.5,2668.5,2790,2930.5,2998,2963,3115,3278,3182,3158,3244,3306,3381.5,3517,3622.5,3871,4262,4456.5,4427.5,4326,3898.5,3640.5,3632.5,3473,3658.5,3841.5,3946.5,4047,4100,4127,4149,4070,3797,3744.5,4034.5
"2014","부산광역시","여자",18152.5,19222.5,20303,21080.5,21703,22279,22986.5,23536,22021,21144,21049,20634,20419.5,20509,21095,22607,25042.5,26704,27192.5,26909,24440,23093,23275,23541,25392,27055,27738,28577,29417.5,29605.5,30207,30432.5,28419.5,27945.5,28863.5
"2014","중구","여자",180.5,193,214,221,225,245,271,281.5,259.5,271.5,272.5,279.5,264.5,258,249,276,313,342,324,301.5,270,258.5,257,273.5,304.5,323.5,307.5,332.5,361,358.5,356,351,322.5,347.5,359.5
"2014","서구","여자",571,603,628,658.5,674,712.5,753.5,771,747.5,697.5,684.5,636,634.5,629.5,657.5,662.5,729.5,754.5,766,741.5,666.5,600,600.5,627.5,714.5,755,808.5,833.5,835.5,855,868.5,850.5,818,825.5,864
